iter	Passed	Remaining
869	36581	5466
870	36624	5424
871	36666	5382
872	36711	5340
873	36756	5298
874	36804	5257
875	36856	5217
876	36904	5175
877	36959	5135
878	37028	5097
879	37086	5057
880	37144	5017
881	37197	4976
882	37254	4936
883	37423	4910
884	37504	4873
885	37558	4832
886	37610	4791
887	37667	4750
888	37719	4709
889	37778	4669
890	37830	4627
891	37881	4586
892	37934	4545
893	37983	4503
894	38029	4461
895	38078	4419
896	38121	4377
897	38168	4335
898	38212	4293
899	38259	4251
900	38307	4209
901	38353	4167
902	38400	4124
903	38446	4082
904	38492	4040
905	38540	3998
906	38584	3956
907	38629	3914
908	38675	3871
909	38724	3829
910	38769	3787
911	38814	3745
912	38859	3702
913	38904	3660
914	38948	3618
915	38999	3576
916	39043	3533
917	39090	3491
918	39139	3449
919	39184	3407
920	39238	3365
921	39288	3323
922	39337	3281
923	39382	3239
924	39430	3197
925	39476	3154
926	39522	3112
927	39572	3070
928	39617	3027
929	39666	2985
930	39712	2943
931	39762	2901
932	39809	2858
933	39855	2816
934	39899	2773
935	39942	2731
936	39984	2688
937	40031	2646
938	40073	2603
939	40115	2560
940	40158	2517
941	40204	2475
942	40246	2432
943	40292	2390
944	40337	2347
945	40378	2304
946	40423	2262
947	40465	2219
948	40512	2177
949	40551	2134
950	40589	2091
951	40630	2048
952	40669	2005
953	40705	1962
954	40744	1919
955	40786	1877
956	40828	1834
957	40874	1791
958	40916	1749
959	40962	1706
960	41008	1664
961	41053	1621
962	41100	1579
963	41143	1536
964	41186	1493
965	41232	1451
966	41276	1408
967	41318	1365
968	41363	1323
969	41409	1280
970	41455	1238
971	41498	1195
972	41545	1152
973	41589	1110
974	41632	1067
975	41681	1024
976	41723	982
977	41767	939
978	41812	896
979	41853	854
980	41898	811
981	41942	768
982	41986	726
983	42029	683
984	42071	640
985	42115	597
986	42161	555
987	42209	512
988	42264	470
989	42325	427
990	42383	384
991	42441	342
992	42498	299
993	42549	256
994	42607	214
995	42664	171
996	42715	128
997	42774	85
998	42826	42
999	42882	0
